"","stom_leng","stom_dens"
"VIBCAS06_HF",35.253,54.6417972859194
"VIBCAS06_SH",39.1902,117.821375397764
"VIBCAS07_SH",32.9434,99.0382575807289
"VIBCAS08_HF",28.9032,85.3778082592491
"VIBCAS11_HF",32.1488,124.651600058504
"VIBLAN01_GR",23.8954,75.3719617446593
"VIBLAN02_GR",24.959,29.1209852195275
"VIBLAN02_SH",25.5966,64.8871342770293
"VIBLAN02_WM",24.7632,73.190878295731
"VIBLAN03_HF",24.4682,59.7644657814743
"VIBLAN03_WM",25.0034,59.5739707058275
"VIBLAN04_GR",28.264,56.5289713084945
"VIBLAN04_WM",26.9414,52.7655169108758
"VIBLAN05_SH",27.2218,42.6889041296245
"VIBLAN05_WM",26.7968,40.8507227697103
"VIBLAN06_GR",24.411,104.492946964187
"VIBLAN06_SH",25.9566,75.1324712681392
"VIBLAN07_SH",24.5902,104.160926076284
"VIBLAN09_HF",24.5038,73.4249151029542
"VIBLAN10_HF",21.3324,51.2266849555494
"VIBLAN11_HF",24.494,134.896937049613
"VIBLAW01_WM",24.5088,66.5946904422143
